budget,genres,keywords,original_language,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,year,rtID,rtAllCriticsRating,rtAllCriticsNumReviews,rtAllCriticsNumFresh,rtAllCriticsNumRotten,rtAllCriticsScore,rtTopCriticsRating,rtTopCriticsNumReviews,rtTopCriticsNumFresh,rtTopCriticsNumRotten,rtTopCriticsScore,rtAudienceRating,rtAudienceNumRatings,rtAudienceScore
12000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]","[{""id"": 437, ""name"": ""painter""}, {""id"": 2038, ""name"": ""love of one's life""}, {""id"": 158558, ""name"": ""disabled""}, {""id"": 187056, ""name"": ""woman director""}]",en,"""Frida"" chronicles the life Frida Kahlo shared unflinchingly and openly with Diego Rivera, as the young couple took the art world by storm. From her complex and enduring relationship with her mentor and husband to her illicit and controversial affair with Leon Trotsky, to her provocative and romantic entanglements with women, Frida Kahlo lived a bold and uncompromising life as a political, artistic, and sexual revolutionary",18.422327,"[{""name"": ""Miramax Films"", ""id"": 14}, {""name"": ""Lions Gate Films"", ""id"": 35}, {""name"": ""Ventanarosa Productions"", ""id"": 689}, {""name"": ""Handprint Entertainment"", ""id"": 690}]","[{""iso_3166_1"": ""MX"", ""name"": ""Mexico""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""CA"", ""name"": ""Canada""}]",2002-08-29,56298474,123,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]",Released,Prepare to be seduced,Frida,7.3,383,2002,frida,6.9,148,112,36,75,6.8,36,23,13,63,3.7,14440,84
20000000,"[{""id"": 35, ""name"": ""Comedy""}]","[{""id"": 5369, ""name"": ""guard""}, {""id"": 6490, ""name"": ""shopping mall""}, {""id"": 9727, ""name"": ""thief""}, {""id"": 14964, ""name"": ""drug""}]",en,Craig and Day Day have finally moved out of their parents houses and into their own crib. The cousins work nights at a local mall as security guards. When their house is robbed on Christmas Eve they team up to track him down.,7.499639,"[{""name"": ""New Line Cinema"", ""id"": 12}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2002-11-22,33526835,85,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""pt"", ""name"": ""Portugu\u00eas""}]",Released,The party's back in the 'hood!,Friday After Next,6,100,2002,friday_after_next,4.1,69,17,52,24,4.5,23,7,16,30,3.3,23508,76
1250000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]","[{""id"": 1890, ""name"": ""camping""}, {""id"": 5767, ""name"": ""summer camp""}, {""id"": 10292, ""name"": ""gore""}, {""id"": 12339, ""name"": ""slasher""}, {""id"": 193575, ""name"": ""b horror""}, {""id"": 207969, ""name"": ""brisbane queensland""}]",en,"Five years after the horrible bloodbath at Camp Crystal Lake, it seems Jason Voorhees and his demented mother are in the past. Paul opens up a new camp close to the infamous site, ignoring warnings to stay away, and a sexually-charged group of counselors follow -- including child psychologist major Ginny. But Jason has been hiding out all this time, and now he's ready for revenge.",16.517777,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Georgetown Productions, Inc."", ""id"": 7512}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1981-05-01,21722776,87,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The body count continues...,Friday the 13th Part 2,6,315,1981,friday_the_13th_part_2,4.4,30,10,20,33,0,1,0,1,0,3.1,13685,58
4000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]","[{""id"": 1889, ""name"": ""lake""}, {""id"": 5767, ""name"": ""summer camp""}, {""id"": 9826, ""name"": ""murder""}, {""id"": 10714, ""name"": ""serial killer""}, {""id"": 12339, ""name"": ""slasher""}, {""id"": 13088, ""name"": ""summer""}, {""id"": 163621, ""name"": ""jason voorhees""}, {""id"": 163651, ""name"": ""one by one""}, {""id"": 163652, ""name"": ""friday the thirteenth""}]",en,"An idyllic summer turns into a nightmare of unspeakable terror for yet another group of naive counselors. Ignoring Camp Crystal Lake's bloody legacy, one by one they fall victim to the maniacal Jason who stalks them at every turn.",14.206525,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Jason Productions"", ""id"": 7513}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1982-08-13,36690067,95,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,There's nowhere to hide. We dare you to try.,Friday the 13th Part III,5.7,254,1982,friday_the_13th_part_3,3.5,22,3,19,13,0,0,0,0,0,0,0,0
2800000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]","[{""id"": 1889, ""name"": ""lake""}, {""id"": 2546, ""name"": ""mask""}, {""id"": 5086, ""name"": ""telekinesis""}, {""id"": 6259, ""name"": ""psychopath""}, {""id"": 12339, ""name"": ""slasher""}, {""id"": 13130, ""name"": ""teenager""}, {""id"": 15106, ""name"": ""psychiatrist""}, {""id"": 179422, ""name"": ""jason vorhees""}]",en,"Tina possesses the gift of telekinesis, allowing her to move things and see the future, using the power of her mind. But when a devious doctor tries to exploit her ability, the gift becomes a hellish curse. Tina unwittingly unchains the merciless bloodthirsty Jason Voorhees from his watery grave, igniting a bloodbath that ends in the ultimate showdown in strength of mind versus pure evil matter.",9.070842,"[{""name"": ""Paramount Pictures"", ""id"": 4}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1988-05-13,19170001,88,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"Jason is back, but this time someone's waiting!",Friday the 13th Part VII: The New Blood,5.3,192,1988,friday_the_13th_part_7_the_new_blood,4.5,16,4,12,25,0,0,0,0,0,0,0,0
5000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]","[{""id"": 242, ""name"": ""new york""}, {""id"": 1422, ""name"": ""boat""}, {""id"": 2546, ""name"": ""mask""}, {""id"": 6259, ""name"": ""psychopath""}, {""id"": 6270, ""name"": ""high school""}, {""id"": 6304, ""name"": ""sewerage""}, {""id"": 8764, ""name"": ""times square""}, {""id"": 10714, ""name"": ""serial killer""}, {""id"": 13130, ""name"": ""teenager""}, {""id"": 179422, ""name"": ""jason vorhees""}]",en,"The Big Apple's in big trouble, as indestructible psycho-fiend Jason Vorhees hits the road to New York City. After a shocking return from beyond the grave, the diabolical Jason ships out abroad a teen-filled ""love boat"" bound for New York, which he soon transforms into the ultimate voyage of the damned. Then one of his terrified victims escapes into the nightmarish maze of Manhattan's subways and sewers, only to confront Jason one final time.",12.904615,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Sean S. Cunningham Films"", ""id"": 17611}, {""name"": ""Horror Inc."", ""id"": 62948}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1989-07-28,14e6,100,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The Big Apple's in BIG trouble!,Friday the 13th Part VIII: Jason Takes Manhattan,4.8,191,1989,friday_the_13th_part_8_jason_takes_manhattan,2.9,20,2,18,10,0,1,0,1,0,2.8,9749,45
2200000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]","[{""id"": 2546, ""name"": ""mask""}, {""id"": 2800, ""name"": ""psychology""}, {""id"": 10714, ""name"": ""serial killer""}, {""id"": 11612, ""name"": ""hospital""}, {""id"": 13130, ""name"": ""teenager""}, {""id"": 14676, ""name"": ""series of murders""}]",en,"Homicidal maniac Jason returns from the grave to cause more bloody mayhem. Young Tommy may have escaped from Crystal Lake, but he’s still haunted by the gruesome events that happened there. When gory murders start happening at the secluded halfway house for troubled teens where he now lives, it seems like his nightmarish nemesis, Jason, is back for more sadistic slaughters. But as things spiral out of control and the body count rises, Tommy begins to wonder if he’s become the killer he fears most.",12.639469,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Georgetown Productions Inc."", ""id"": 16779}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1985-03-22,21930418,92,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,A New Beginning to the first step in terror.,Friday the 13th: A New Beginning,5.1,196,1985,friday_the_13th_part_5_a_new_beginning,3.3,17,3,14,17,0,0,0,0,0,0,0,0
2600000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]","[{""id"": 1889, ""name"": ""lake""}, {""id"": 6506, ""name"": ""resurrection""}, {""id"": 10326, ""name"": ""morgue""}, {""id"": 10714, ""name"": ""serial killer""}, {""id"": 179422, ""name"": ""jason vorhees""}, {""id"": 206977, ""name"": ""hitchhike""}]",en,"After the Crystal Lake Massacres, Jason is pronounced dead and taken to the hospital morgue, where he is mysteriously revived, allowing his diabolical killing spree to continue at the camp where the gruesome slaughtering began. But this time, in addition to terrified teenagers, he meets a young boy named Tommy who has a special talent for horror masks and make up, leading up to a horrifying, bloody battle! Has Jason finally met his match?",14.013414,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Friday Four, Inc."", ""id"": 93280}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1984-04-13,32980880,91,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Released,"Jason's Back, and this is the one you've been screaming for.",Friday the 13th: The Final Chapter,5.9,237,1984,friday-the-13th-the-final-chapter,4.3,21,5,16,23,0,0,0,0,0,0,0,0
17000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 35, ""name"": ""Comedy""}]","[{""id"": 813, ""name"": ""sunrise""}, {""id"": 3133, ""name"": ""vampire""}, {""id"": 3301, ""name"": ""suspicion""}, {""id"": 9714, ""name"": ""remake""}, {""id"": 10532, ""name"": ""suburbia""}]",en,"A teenager suspects his new neighbour is a vampire. Unable to convince anyone, he tries to enlist the help of a self-proclaimed vampire hunter and magician in this remake of the 1985 comedy-horror classic.",18.27083,"[{""name"": ""Touchstone Pictures"", ""id"": 9195}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2011-08-18,24922237,106,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,You can't run from evil when it lives next door.,Fright Night,6,603,1985,1007910-fright_night,7.3,27,25,2,92,0,3,2,1,66,3.3,7746,70
19000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]","[{""id"": 246, ""name"": ""dancing""}, {""id"": 380, ""name"": ""brother brother relationship""}, {""id"": 459, ""name"": ""sexual obsession""}, {""id"": 797, ""name"": ""showdown""}, {""id"": 798, ""name"": ""sheriff""}, {""id"": 1664, ""name"": ""eroticism""}, {""id"": 2483, ""name"": ""nudity""}, {""id"": 2492, ""name"": ""bank robber""}, {""id"": 3133, ""name"": ""vampire""}, {""id"": 3649, ""name"": ""holy water""}, {""id"": 4063, ""name"": ""siege""}, {""id"": 6593, ""name"": ""stripper""}, {""id"": 10093, ""name"": ""priest""}, {""id"": 14601, ""name"": ""explosion""}, {""id"": 14687, ""name"": ""extreme violence""}, {""id"": 15363, ""name"": ""bank robbery""}, {""id"": 18072, ""name"": ""preacher""}, {""id"": 18233, ""name"": ""hostage situation""}, {""id"": 41380, ""name"": ""crucifix""}, {""id"": 163795, ""name"": ""recreational vehicle""}, {""id"": 167664, ""name"": ""blood spurting""}, {""id"": 168152, ""name"": ""convenience store""}, {""id"": 174878, ""name"": ""female vampire""}, {""id"": 188711, ""name"": ""mexican american border""}, {""id"": 191441, ""name"": ""nightclub entertainer""}, {""id"": 227811, ""name"": ""boa constrictor""}]",en,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.",64.181668,"[{""name"": ""A Band Apart"", ""id"": 59}, {""name"": ""Dimension Films"", ""id"": 7405}, {""name"": ""Los Hooligans Productions"", ""id"": 11705}, {""name"": ""Miramax"", ""id"": 53009}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1996-01-19,25836616,108,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Released,One night is all that stands between them and freedom. But it's going to be a hell of a night.,From Dusk Till Dawn,6.9,1603,1996,from_dusk_till_dawn,6,43,27,16,62,4.9,10,5,5,50,3.4,36073,75
35000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]","[{""id"": 1465, ""name"": ""loss of family""}, {""id"": 1803, ""name"": ""drug addiction""}, {""id"": 4007, ""name"": ""jack the ripper""}]",en,Frederick Abberline is an opium-huffing inspector from Scotland Yard who falls for one of Jack the Ripper's prostitute targets in this Hughes brothers adaption of a graphic novel that posits the Ripper's true identity.,26.134678,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Underworld Entertainment"", ""id"": 476}]","[{""iso_3166_1"": ""CZ"", ""name"": ""Czech Republic""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]",2001-10-19,74558115,122,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""hu"", ""name"": ""Magyar""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]",Released,Only the legend will survive.,From Hell,6.6,741,2001,from_hell,5.7,146,83,63,56,5.3,33,17,16,51,3.3,33233,70
1650000,"[{""id"": 10752, ""name"": ""War""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]","[{""id"": 1668, ""name"": ""hawaii""}, {""id"": 2539, ""name"": ""harassment""}, {""id"": 3365, ""name"": ""pearl harbor""}, {""id"": 33702, ""name"": ""bombing""}, {""id"": 158372, ""name"": ""military life""}, {""id"": 191110, ""name"": ""army base""}]",en,"In 1941 Hawaii, a private is cruelly punished for not boxing on his unit's team, while his captain's wife and second in command are falling in love.",6.915201,"[{""name"": ""Columbia Pictures Corporation"", ""id"": 441}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1953-08-04,305e5,118,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Pouring out of impassioned pages...brawling their way to greatness on the screen!,From Here to Eternity,7.2,133,1953,1007931-from_here_to_eternity,8,40,35,5,87,7.9,7,6,1,85,3.9,4410,83
12000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]","[{""id"": 4344, ""name"": ""musical""}]",en,"A lonely, sexually repressed man. A depressed woman. A summer camp. On this fateful night, they will meet... and their hearts will become one.",1.623338,"[{""name"": ""19 Entertainment"", ""id"": 20877}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2003-06-20,4922166,90,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The tale of two American Idols.,From Justin to Kelly,3,23,2003,from_justin_to_kelly,2.8,59,5,54,8,2.7,16,1,15,6,2,6715,39
2000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 12, ""name"": ""Adventure""}]","[{""id"": 110, ""name"": ""venice""}, {""id"": 212, ""name"": ""london england""}, {""id"": 321, ""name"": ""terror""}, {""id"": 392, ""name"": ""england""}, {""id"": 441, ""name"": ""assassination""}, {""id"": 470, ""name"": ""spy""}, {""id"": 782, ""name"": ""assassin""}, {""id"": 1847, ""name"": ""istanbul""}, {""id"": 2139, ""name"": ""russia""}, {""id"": 3269, ""name"": ""secret mission""}, {""id"": 3271, ""name"": ""secret organization""}, {""id"": 3272, ""name"": ""secret intelligence service""}, {""id"": 3278, ""name"": ""kgb""}, {""id"": 3279, ""name"": ""orient express""}, {""id"": 3281, ""name"": ""zagreb""}, {""id"": 3282, ""name"": ""gondola""}, {""id"": 3284, ""name"": ""phantom""}, {""id"": 3289, ""name"": ""villain""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}]",en,"Agent 007 is back in the second installment of the James Bond series, this time battling a secret crime organization known as SPECTRE. Russians Rosa Klebb and Kronsteen are out to snatch a decoding device known as the Lektor, using the ravishing Tatiana to lure Bond into helping them. Bond willingly travels to meet Tatiana in Istanbul, where he must rely on his wits to escape with his life in a series of deadly encounters with the enemy",41.298723,"[{""name"": ""United Artists"", ""id"": 60}, {""name"": ""Eon Productions"", ""id"": 7576}, {""name"": ""Danjaq"", ""id"": 10761}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]",1963-10-11,78898765,115,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}, {""iso_639_1"": ""tr"", ""name"": ""T\u00fcrk\u00e7e""}, {""iso_639_1"": ""ro"", ""name"": ""Rom\u00e2n\u0103""}]",Released,The world's masters of murder pull out all the stops to destroy Agent 007!,From Russia with Love,6.9,760,1963,from_russia_with_love,7.9,45,43,2,95,7.8,5,5,0,100,3.6,17619,79
2000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]","[{""id"": 10183, ""name"": ""independent film""}]",en,"A contemporary comedy set in Los Angeles, Full Frontal traces the complicated relationship among seven friends as they deal with the fragile connections that bind them together. Full Frontal takes place during a twenty-four hour period - a day in the life of missed connections.",1.95686,"[{""name"": ""Miramax Films"", ""id"": 14}, {""name"": ""Populist Pictures"", ""id"": 14729}, {""name"": ""Monophonic Inc."", ""id"": 69989}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2002-08-02,2506446,96,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Everybody Needs A Release,Full Frontal,4.8,26,2002,full_frontal,5.2,140,52,88,37,5.2,35,12,23,34,2.6,1893,27
100000000,"[{""id"": 35, ""name"": ""Comedy""}]","[{""id"": 818, ""name"": ""based on novel""}, {""id"": 1333, ""name"": ""desperation""}, {""id"": 1621, ""name"": ""robber""}, {""id"": 3607, ""name"": ""hold-up robbery""}, {""id"": 9714, ""name"": ""remake""}, {""id"": 10532, ""name"": ""suburbia""}, {""id"": 14549, ""name"": ""loss of job""}, {""id"": 33740, ""name"": ""humiliation""}, {""id"": 156052, ""name"": ""unemployment""}, {""id"": 157296, ""name"": ""bankruptcy""}, {""id"": 160510, ""name"": ""travel agent""}, {""id"": 211295, ""name"": ""riches to rags""}, {""id"": 227863, ""name"": ""bearer bonds""}, {""id"": 227864, ""name"": ""comeuppance""}]",en,"After Dick Harper loses his job at Globodyne in an Enron-esque collapse, he and his wife, Jane, turn to crime in order to handle the massive debt they now face. Two intelligent people, Dick and Jane actually get pretty good at robbing people and even enjoy it -- but they have second thoughts when they're reminded that crime can hurt innocent people. When the couple hears that Globodyne boss Jack McCallister actually swindled the company, they plot revenge.",25.159168,"[{""name"": ""Imagine Entertainment"", ""id"": 23}, {""name"": ""Columbia Pictures Corporation"", ""id"": 441}, {""name"": ""JC 23 Entertainment"", ""id"": 76714}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2005-12-21,202026112,90,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Giving big businesses a run for their money!,Fun with Dick and Jane,5.9,627,2005,fun_with_dick_and_jane,4.9,131,38,93,29,5.2,30,9,21,30,3.2,80127,58
16800000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 10749, ""name"": ""Romance""}]","[{""id"": 1003, ""name"": ""photographer""}, {""id"": 5565, ""name"": ""biography""}, {""id"": 12096, ""name"": ""hair""}, {""id"": 12564, ""name"": ""werewolf""}, {""id"": 201294, ""name"": ""hypertrichosis""}, {""id"": 207673, ""name"": ""freak""}]",en,"In 1958 New York Diane Arbus is a housewife and mother who works as an assistant to her husband, a photographer employed by her wealthy parents. Respectable though her life is, she cannot help but feel uncomfortable in her privileged world. One night, a new neighbor catches Diane's eye, and the enigmatic man inspires her to set forth on the path to discovering her own artistry.",4.358255,"[{""name"": ""River Road Entertainment"", ""id"": 1246}, {""name"": ""Edward R. Pressman Film"", ""id"": 6455}, {""name"": ""Iron Film"", ""id"": 36650}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2006-08-30,2281089,122,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,A love story.,Fur: An Imaginary Portrait of Diane Arbus,5.8,73,2006,fur,4.9,108,34,74,31,4.3,37,7,30,18,3.5,6462,64
50000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}]","[{""id"": 493, ""name"": ""poem""}, {""id"": 539, ""name"": ""middle east""}, {""id"": 720, ""name"": ""helicopter""}, {""id"": 3376, ""name"": ""satellite""}, {""id"": 3588, ""name"": ""navy""}, {""id"": 4411, ""name"": ""sexism""}, {""id"": 6091, ""name"": ""war""}, {""id"": 6092, ""name"": ""army""}, {""id"": 10850, ""name"": ""sexual harassment""}, {""id"": 11219, ""name"": ""navy seal""}, {""id"": 11718, ""name"": ""feminist""}, {""id"": 13065, ""name"": ""soldier""}, {""id"": 15248, ""name"": ""commando""}, {""id"": 159315, ""name"": ""mental health""}, {""id"": 161247, ""name"": ""drill instructor""}, {""id"": 162365, ""name"": ""military""}, {""id"": 185454, ""name"": ""u.s. military""}, {""id"": 191110, ""name"": ""army base""}, {""id"": 225707, ""name"": ""reconnaissance""}, {""id"": 225710, ""name"": ""sexual discrimination""}]",en,A female Senator succeeds in enrolling a woman into Combined Reconnaissance Team training where everyone expects her to fail.,19.434672,"[{""name"": ""Caravan Pictures"", ""id"": 175}, {""name"": ""Hollywood Pictures"", ""id"": 915}, {""name"": ""First Independent Films"", ""id"": 1643}, {""name"": ""Largo Entertainment"", ""id"": 1644}, {""name"": ""Scott Free Productions"", ""id"": 1645}, {""name"": ""Trap-Two-Zero Productions"", ""id"": 1646}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1997-08-22,48169156,125,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Failure is not an option.,G.I. Jane,6,395,1997,gi_jane,6,29,16,13,55,6.4,6,3,3,50,3,11537,58
175000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]","[{""id"": 949, ""name"": ""terrorist""}, {""id"": 1328, ""name"": ""secret""}, {""id"": 1562, ""name"": ""hostage""}, {""id"": 1576, ""name"": ""technology""}, {""id"": 3467, ""name"": ""warhead""}, {""id"": 6086, ""name"": ""government""}, {""id"": 8570, ""name"": ""president""}, {""id"": 9748, ""name"": ""revenge""}, {""id"": 9826, ""name"": ""murder""}, {""id"": 10563, ""name"": ""attack""}, {""id"": 14601, ""name"": ""explosion""}, {""id"": 14760, ""name"": ""scientist""}, {""id"": 155551, ""name"": ""lasers""}, {""id"": 156075, ""name"": ""evil""}, {""id"": 191574, ""name"": ""cobra""}]",en,"From the Egyptian desert to deep below the polar ice caps, the elite G.I. JOE team uses the latest in next-generation spy and military equipment to fight the corrupt arms dealer Destro and the growing threat of the mysterious Cobra organization to prevent them from plunging the world into chaos.",32.852443,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Spyglass Entertainment"", ""id"": 158}, {""name"": ""Di Bonaventura Pictures"", ""id"": 435}, {""name"": ""Hasbro"", ""id"": 2598}, {""name"": ""Kontsept Film Company"", ""id"": 76067}]","[{""iso_3166_1"": ""CZ"", ""name"": ""Czech Republic""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2009-08-04,302469017,118,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""gd"", ""name"": """"}]",Released,"When all else fails, they don't.",G.I. Joe: The Rise of Cobra,5.6,1962,2009,gi_joe,4.6,153,52,101,33,3.8,25,6,19,24,3.3,302453,62
5500000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}]","[{""id"": 803, ""name"": ""android""}, {""id"": 1365, ""name"": ""harley davidson""}, {""id"": 3385, ""name"": ""cryogenics""}, {""id"": 3801, ""name"": ""space travel""}, {""id"": 9673, ""name"": ""love""}, {""id"": 9755, ""name"": ""parody""}, {""id"": 9831, ""name"": ""spaceship""}, {""id"": 9882, ""name"": ""space""}, {""id"": 9951, ""name"": ""alien""}, {""id"": 14735, ""name"": ""motorcycle""}, {""id"": 33611, ""name"": ""exercise""}, {""id"": 155551, ""name"": ""lasers""}, {""id"": 205740, ""name"": ""force field""}, {""id"": 212435, ""name"": ""meta film""}, {""id"": 222915, ""name"": ""forcefield""}, {""id"": 233129, ""name"": ""motorbike""}, {""id"": 233155, ""name"": ""cryonics""}]",en,"Galaxina is a lifelike, voluptuous android who is assigned to oversee the operations of an intergalactic Space Police cruiser captained by incompetent Cornelius Butt. When a mission requires the ship's crew to be placed in suspended animation for decades, Galaxina finds herself alone for many years, developing emotions and falling in love with the ship's pilot, Thor.",2.141143,"[{""name"": ""Marimark Productions"", ""id"": 1010}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1980-06-06,4865e3,95,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,She's too good to be true...and too real to be otherwise.,Galaxina,3.3,16,1980,galaxina,3.6,5,1,4,20,0,0,0,0,0,0,0,0
45000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 878, ""name"": ""Science Fiction""}]","[{""id"": 2902, ""name"": ""space battle""}, {""id"": 9831, ""name"": ""spaceship""}, {""id"": 11931, ""name"": ""spoof""}, {""id"": 179781, ""name"": ""fictional tv show""}]",en,"The stars of a 1970s sci-fi show - now scraping a living through re-runs and sci-fi conventions - are beamed aboard an alien spacecraft. Believing the cast's heroic on-screen dramas are historical documents of real-life adventures, the band of aliens turn to the ailing celebrities for help in their quest to overcome the oppressive regime in their solar system.",30.816341,"[{""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""Gran Via Productions"", ""id"": 2605}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1999-12-23,90683916,102,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,A comedy of Galactic Proportions.,Galaxy Quest,6.9,710,1999,galaxy_quest,7.2,111,99,12,89,6.9,27,22,5,81,3,19804,67
