title,genre,vote_average,rtAllCriticsRating
Apocalypto,Drama,7.3,6.3
Apocalypto,Thriller,7.3,6.3
Apollo 13,Drama,7.3,8
Appaloosa,Drama,6.3,6.6
Appaloosa,Western,6.3,6.6
Appaloosa,Crime,6.3,6.6
Aquamarine,Fantasy,5.8,5.5
Aquamarine,Romance,5.8,5.5
Aquamarine,Family,5.8,5.5
Aquamarine,Comedy,5.8,5.5
Arachnophobia,Comedy,6.2,6.6
Arachnophobia,Horror,6.2,6.6
Are We There Yet?,Adventure,5.2,3.3
Are We There Yet?,Comedy,5.2,3.3
Are We There Yet?,Family,5.2,3.3
Are We There Yet?,Romance,5.2,3.3
Armageddon,Action,6.4,5.1
Armageddon,Thriller,6.4,5.1
Armageddon,Science Fiction,6.4,5.1
Armageddon,Adventure,6.4,5.1
Around the World in 80 Days,Action,5.7,4.8
Around the World in 80 Days,Adventure,5.7,4.8
Around the World in 80 Days,Comedy,5.7,4.8
Arthur and the Invisibles,Adventure,6,4.5
Arthur and the Invisibles,Fantasy,6,4.5
Arthur and the Invisibles,Animation,6,4.5
Arthur and the Invisibles,Family,6,4.5
As Good as It Gets,Comedy,7.2,7.2
As Good as It Gets,Romance,7.2,7.2
Assault on Precinct 13,Thriller,6,5.9
ATL,Drama,6,5.9
Atlantis: The Lost Empire,Animation,6.7,5.3
Atlantis: The Lost Empire,Family,6.7,5.3
Atlantis: The Lost Empire,Adventure,6.7,5.3
Atlantis: The Lost Empire,Science Fiction,6.7,5.3
Atonement,Drama,7.4,7.3
Atonement,Romance,7.4,7.3
August Rush,Drama,7.1,4.8
Austin Powers in Goldmember,Comedy,5.9,5.8
Austin Powers in Goldmember,Crime,5.9,5.8
Austin Powers in Goldmember,Science Fiction,5.9,5.8
Austin Powers: The Spy Who Shagged Me,Adventure,6.2,6
Austin Powers: The Spy Who Shagged Me,Comedy,6.2,6
Austin Powers: The Spy Who Shagged Me,Crime,6.2,6
Austin Powers: The Spy Who Shagged Me,Science Fiction,6.2,6
Australia,Drama,6.3,5.9
Auto Focus,Drama,6.1,6.7
Auto Focus,Crime,6.1,6.7
AVP: Alien vs. Predator,Adventure,5.5,4.1
AVP: Alien vs. Predator,Science Fiction,5.5,4.1
AVP: Alien vs. Predator,Action,5.5,4.1
Awake,Thriller,6.3,4.3
Awake,Crime,6.3,4.3
Awake,Mystery,6.3,4.3
Babe,Fantasy,6,8.2
Babe,Drama,6,8.2
Babe,Comedy,6,8.2
Babe,Family,6,8.2
Babe: Pig in the City,Adventure,5.2,6.2
Babe: Pig in the City,Comedy,5.2,6.2
Babe: Pig in the City,Drama,5.2,6.2
Babe: Pig in the City,Family,5.2,6.2
Babe: Pig in the City,Fantasy,5.2,6.2
Babel,Drama,6.9,6.7
Baby Boy,Crime,7.4,6.1
Baby Boy,Drama,7.4,6.1
Baby Boy,Romance,7.4,6.1
Baby Geniuses,Science Fiction,3.3,1.9
Baby Geniuses,Comedy,3.3,1.9
Baby Geniuses,Family,3.3,1.9
Baby Mama,Comedy,5.8,6.2
Baby's Day Out,Action,5.8,3.9
Baby's Day Out,Adventure,5.8,3.9
Baby's Day Out,Comedy,5.8,3.9
Baby's Day Out,Family,5.8,3.9
Babylon A.D.,Action,5.4,3.2
Babylon A.D.,Adventure,5.4,3.2
Babylon A.D.,Science Fiction,5.4,3.2
Babylon A.D.,Thriller,5.4,3.2
Back to the Future,Adventure,8,8.4
Back to the Future,Comedy,8,8.4
Back to the Future,Science Fiction,8,8.4
Back to the Future,Family,8,8.4
Back to the Future Part II,Adventure,7.4,6
Back to the Future Part II,Comedy,7.4,6
Back to the Future Part II,Family,7.4,6
Back to the Future Part II,Science Fiction,7.4,6
Back to the Future Part III,Adventure,7.1,6.3
Back to the Future Part III,Comedy,7.1,6.3
Back to the Future Part III,Family,7.1,6.3
Back to the Future Part III,Science Fiction,7.1,6.3
Bad Boys,Action,6.5,4.8
Bad Boys,Comedy,6.5,4.8
Bad Boys,Crime,6.5,4.8
Bad Boys,Thriller,6.5,4.8
Bad Boys II,Adventure,6.3,4.1
Bad Boys II,Action,6.3,4.1
Bad Boys II,Comedy,6.3,4.1
Bad Boys II,Thriller,6.3,4.1
Bad Boys II,Crime,6.3,4.1
Bad Company,Action,5.4,3.9
Bad Company,Adventure,5.4,3.9
Bad Company,Comedy,5.4,3.9
Bad Company,Thriller,5.4,3.9
Bad Santa,Drama,6.5,6.7
Bad Santa,Comedy,6.5,6.7
Bad Santa,Crime,6.5,6.7
Ballistic: Ecks vs. Sever,Action,4.3,2.6
Ballistic: Ecks vs. Sever,Adventure,4.3,2.6
Ballistic: Ecks vs. Sever,Thriller,4.3,2.6
Bambi,Animation,6.8,8
Bambi,Drama,6.8,8
Bambi,Family,6.8,8
Bananas,Comedy,6.7,7
Bandidas,Action,5.8,5.4
Bandidas,Comedy,5.8,5.4
Bandidas,Western,5.8,5.4
Bandidas,Crime,5.8,5.4
Bandits,Action,6.2,6.1
Bandits,Comedy,6.2,6.1
Bandits,Crime,6.2,6.1
Bandits,Romance,6.2,6.1
Bangkok Dangerous,Action,5,3.4
Bangkok Dangerous,Crime,5,3.4
Bangkok Dangerous,Thriller,5,3.4
District B13,Action,6.5,7
District B13,Thriller,6.5,7
District B13,Science Fiction,6.5,7
Barbarella,Science Fiction,5.7,6
Barnyard,Animation,5.3,4.4
Barnyard,Comedy,5.3,4.4
Barnyard,Family,5.3,4.4
Barry Lyndon,Drama,7.7,7.8
Barry Lyndon,Romance,7.7,7.8
Barry Lyndon,War,7.7,7.8
Basic,Action,6.2,4.5
Basic,Drama,6.2,4.5
Basic,Mystery,6.2,4.5
Basic,Thriller,6.2,4.5
Basic,Crime,6.2,4.5
Basic Instinct 2,Crime,4.6,3.1
Basic Instinct 2,Mystery,4.6,3.1
Basic Instinct 2,Thriller,4.6,3.1
Batman,Fantasy,7,6.2
Batman,Action,7,6.2
Batman Begins,Action,7.5,7.7
Batman Begins,Crime,7.5,7.7
Batman Begins,Drama,7.5,7.7
Batman Forever,Action,5.2,5.2
Batman Forever,Crime,5.2,5.2
Batman Forever,Fantasy,5.2,5.2
Batman Returns,Action,6.6,6.5
Batman Returns,Fantasy,6.6,6.5
Battle for the Planet of the Apes,Action,5.5,4.7
Battle for the Planet of the Apes,Science Fiction,5.5,4.7
Be Cool,Comedy,5.4,4.6
Be Cool,Crime,5.4,4.6
Beautiful Creatures,Fantasy,5.6,4.8
Beautiful Creatures,Drama,5.6,4.8
Beautiful Creatures,Romance,5.6,4.8
Beauty Shop,Comedy,5.4,5.3
Beauty Shop,Romance,5.4,5.3
Because of Winn-Dixie,Comedy,6.1,5.8
Because of Winn-Dixie,Drama,6.1,5.8
Because of Winn-Dixie,Family,6.1,5.8
Becoming Jane,Drama,6.9,6
Becoming Jane,Romance,6.9,6
Bedazzled,Fantasy,5.6,5.4
Bedazzled,Comedy,5.6,5.4
Bedazzled,Romance,5.6,5.4
Bedtime Stories,Fantasy,5.9,4.4
Bedtime Stories,Comedy,5.9,4.4
Bedtime Stories,Family,5.9,4.4
Bedtime Stories,Romance,5.9,4.4
Bee Movie,Family,5.7,5.7
Bee Movie,Animation,5.7,5.7
Bee Movie,Adventure,5.7,5.7
Bee Movie,Comedy,5.7,5.7
Beerfest,Comedy,5.8,5
Before Sunrise,Drama,7.7,8.2
Before Sunrise,Romance,7.7,8.2
Before Sunset,Drama,7.6,8.3
Before Sunset,Romance,7.6,8.3
Behind Enemy Lines,Action,6,4.7
Behind Enemy Lines,Drama,6,4.7
Behind Enemy Lines,Thriller,6,4.7
Behind Enemy Lines,War,6,4.7
Being John Malkovich,Fantasy,7.3,8
Being John Malkovich,Drama,7.3,8
Being John Malkovich,Comedy,7.3,8
Ben-Hur,Drama,5.3,7.8
Bend It Like Beckham,Comedy,6.2,7.2
Bend It Like Beckham,Drama,6.2,7.2
Bend It Like Beckham,Romance,6.2,7.2
Beneath the Planet of the Apes,Adventure,6.2,5.3
Beneath the Planet of the Apes,Science Fiction,6.2,5.3
Beneath the Planet of the Apes,Mystery,6.2,5.3
Beowulf,Adventure,5.5,6.5
Beowulf,Action,5.5,6.5
Beowulf,Animation,5.5,6.5
Beverly Hills Chihuahua,Adventure,4.9,5
Beverly Hills Chihuahua,Comedy,4.9,5
Beverly Hills Chihuahua,Family,4.9,5
Beverly Hills Cop,Action,6.8,7.1
Beverly Hills Cop,Comedy,6.8,7.1
Beverly Hills Cop,Crime,6.8,7.1
Beverly Hills Cop II,Action,6.1,4.8
Beverly Hills Cop II,Comedy,6.1,4.8
Beverly Hills Cop II,Crime,6.1,4.8
Beverly Hills Cop III,Action,5.5,3.3
Beverly Hills Cop III,Comedy,5.5,3.3
Beverly Hills Cop III,Crime,5.5,3.3
Beyond the Mat,Documentary,7.8,6.7
Beyond the Valley of the Dolls,Comedy,6.6,6.1
Beyond the Valley of the Dolls,Drama,6.6,6.1
Beyond the Valley of the Dolls,Thriller,6.6,6.1
Bicentennial Man,Comedy,6.9,4.8
Bicentennial Man,Science Fiction,6.9,4.8
Big,Fantasy,6.9,7.9
Big,Drama,6.9,7.9
Big,Comedy,6.9,7.9
Big,Romance,6.9,7.9
Big,Family,6.9,7.9
Big Fat Liar,Comedy,5.6,4.9
Big Fat Liar,Family,5.6,4.9
Big Fish,Adventure,7.6,7.2
Big Fish,Fantasy,7.6,7.2
Big Fish,Drama,7.6,7.2
Big Momma's House,Crime,5.6,4.4
Big Momma's House,Comedy,5.6,4.4
Big Momma's House 2,Comedy,5.4,3.1
Big Momma's House 2,Crime,5.4,3.1
Big Trouble,Action,6.3,5.4
Big Trouble,Comedy,6.3,5.4
Big Trouble,Thriller,6.3,5.4
Bill & Ted's Excellent Adventure,Adventure,6.7,6.3
Bill & Ted's Excellent Adventure,Comedy,6.7,6.3
Bill & Ted's Excellent Adventure,Science Fiction,6.7,6.3
Billy Elliot,Drama,7.4,7.2
Billy Elliot,Comedy,7.4,7.2
Billy Elliot,Music,7.4,7.2
Black Hawk Down,Action,7.2,6.9
Black Hawk Down,History,7.2,6.9
Black Hawk Down,War,7.2,6.9
Black Rain,Action,6.2,5.4
Black Rain,Thriller,6.2,5.4
Black Rain,Crime,6.2,5.4
Black Snake Moan,Drama,6.6,6.3
Blade,Horror,6.5,5.7
Blade,Action,6.5,5.7
Blade II,Fantasy,6.2,6
Blade II,Horror,6.2,6
Blade II,Action,6.2,6
Blade II,Thriller,6.2,6
Blade: Trinity,Science Fiction,5.7,4.5
Blade: Trinity,Action,5.7,4.5
Blade: Trinity,Horror,5.7,4.5
Blade: Trinity,Thriller,5.7,4.5
Blade: Trinity,Adventure,5.7,4.5
Blade: Trinity,Fantasy,5.7,4.5
Blast from the Past,Comedy,6.3,6.1
Blast from the Past,Romance,6.3,6.1
Blazing Saddles,Western,7.2,8.1
Blazing Saddles,Comedy,7.2,8.1
Blindness,Drama,6.4,5.2
Blindness,Mystery,6.4,5.2
Blindness,Science Fiction,6.4,5.2
Blindness,Thriller,6.4,5.2
Blood Diamond,Drama,7.3,6.3
Blood Diamond,Thriller,7.3,6.3
Blood Diamond,Action,7.3,6.3
Blood Work,Crime,6.1,5.6
Blood Work,Drama,6.1,5.6
Blood Work,Mystery,6.1,5.6
Blood Work,Thriller,6.1,5.6
BloodRayne,Action,3.5,2.3
BloodRayne,Adventure,3.5,2.3
BloodRayne,Fantasy,3.5,2.3
BloodRayne,Horror,3.5,2.3
Bloodsport,Action,6.6,4.3
Blow,Crime,7.4,5.8
Blow,Drama,7.4,5.8
Blow Out,Drama,7.3,7.5
Blow Out,Mystery,7.3,7.5
Blow Out,Thriller,7.3,7.5
Blue Car,Drama,6.7,6.9
Blue Crush,Adventure,5.6,5
Blue Streak,Action,6.1,4.8
Blue Streak,Comedy,6.1,4.8
Blue Streak,Crime,6.1,4.8
Boat Trip,Comedy,4.7,2.6
Body Double,Crime,6.4,6.6
Body Double,Mystery,6.4,6.6
Body Double,Horror,6.4,6.6
Body Double,Thriller,6.4,6.6
Body of Lies,Action,6.5,5.8
Body of Lies,Drama,6.5,5.8
Body of Lies,Thriller,6.5,5.8
Boiler Room,Crime,6.5,6.4
Boiler Room,Drama,6.5,6.4
Boiler Room,Thriller,6.5,6.4
Bolt,Animation,6.3,7.2
Bolt,Family,6.3,7.2
Bolt,Adventure,6.3,7.2
Bolt,Comedy,6.3,7.2
Boogeyman,Thriller,4.6,3.4
Boogeyman,Horror,4.6,3.4
Boogeyman,Drama,4.6,3.4
Boogeyman,Mystery,4.6,3.4
Boogie Nights,Drama,7.5,8.1
Boomerang,Comedy,5.4,4.8
Boomerang,Romance,5.4,4.8
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Comedy,6.5,8
Born on the Fourth of July,Drama,6.7,7.3
Born on the Fourth of July,War,6.7,7.3
Bottle Rocket,Comedy,6.8,6.6
Bottle Rocket,Crime,6.8,6.6
Bottle Rocket,Drama,6.8,6.6
Bottle Shock,Comedy,6.6,5.6
Bottle Shock,Drama,6.6,5.6
Bound,Crime,6.9,7.7
Bound,Drama,6.9,7.7
Bound,Romance,6.9,7.7
Bound,Thriller,6.9,7.7
Bowling for Columbine,Documentary,7.3,8.2
Boys and Girls,Comedy,5.4,3.8
Boys and Girls,Drama,5.4,3.8
Boys and Girls,Romance,5.4,3.8
Boys Don't Cry,Crime,7.2,7.9
Boys Don't Cry,Drama,7.2,7.9
Boyz n the Hood,Crime,7.4,8.3
Boyz n the Hood,Drama,7.4,8.3
Braveheart,Action,7.7,7
Braveheart,Drama,7.7,7
Braveheart,History,7.7,7
Braveheart,War,7.7,7
Bride of Chucky,Horror,5.5,5.3
Bride of Chucky,Comedy,5.5,5.3
Bridge to Terabithia,Adventure,7,7.2
Bridge to Terabithia,Drama,7,7.2
Bridge to Terabithia,Family,7,7.2
Bridget Jones: The Edge of Reason,Comedy,6.1,4.7
Bridget Jones: The Edge of Reason,Romance,6.1,4.7
Bridget Jones's Diary,Comedy,6.5,6.8
Bridget Jones's Diary,Romance,6.5,6.8
Bridget Jones's Diary,Drama,6.5,6.8
Brigham City,Crime,7.3,6.2
Brigham City,Drama,7.3,6.2
Brigham City,Mystery,7.3,6.2
Brigham City,Thriller,7.3,6.2
Bring It On,Comedy,5.8,6
Bringing Down the House,Comedy,5.4,4.7
Brokeback Mountain,Drama,7.5,8.2
Brokeback Mountain,Romance,7.5,8.2
Brokedown Palace,Drama,6.2,4.7
Brokedown Palace,Thriller,6.2,4.7
Broken Arrow,Action,5.7,5.8
Broken Arrow,Adventure,5.7,5.8
Broken Arrow,Drama,5.7,5.8
Broken Arrow,Thriller,5.7,5.8
Brooklyn Rules,Drama,5.8,5.4
Brooklyn Rules,Action,5.8,5.4
Brooklyn Rules,Thriller,5.8,5.4
Brown Sugar,Comedy,7,6.2
Brown Sugar,Romance,7,6.2
Buffalo '66,Romance,7.1,7
Buffalo '66,Comedy,7.1,7
Buffalo '66,Crime,7.1,7
Buffalo '66,Drama,7.1,7
Bulworth,Comedy,6.3,7
Bulworth,Drama,6.3,7
Burn After Reading,Comedy,6.5,6.8
Burn After Reading,Drama,6.5,6.8
Butch Cassidy and the Sundance Kid,History,7.4,8.1
Butch Cassidy and the Sundance Kid,Drama,7.4,8.1
Butch Cassidy and the Sundance Kid,Western,7.4,8.1
Butch Cassidy and the Sundance Kid,Crime,7.4,8.1
C.H.U.D.,Horror,5.3,3.7
C.H.U.D.,Science Fiction,5.3,3.7
